Markup,Part/Library name,Parts Per Package,Reference Designator,TinyCAD Symbol,FreePCB Package,Description,,,,,,,,,,,,,,,,,,,,,
library,gen_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vf,If,Brightness,Color,,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,LED,1,D?,LED,,Light-Emitting Diode,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vf,If,Brightness,Color1,Color2,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,LED_BICOLOR_1,1,D?,LED_BICOLOR_1,,Two-color light-emitting diode type 1,,,,,,,,,,,,,,,,,,,,,
part,LED_BICOLOR_2,1,D?,LED_BICOLOR_2,,Two-color light-emitting diode type 2,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vf,If,Brightness,Color1,Color2,Color3,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,LED_TRICOLOR,1,D?,,,Three-color light-emitting diode,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Pmax,IfMax,VrMax,VfMax,Vf,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,D,1,D?,D,,Diode,,,,,,,,,,,,,,,,,,,,,
part,D_SCHOTTKY,1,D?,D_SCHOTTKY,,Schottky diode,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Pmax,IfMax,VrMax,VfMax,Vf,Vr,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,D_ZENER,1,D?,D_ZENER,,Zener diode,,,,,,,,,,,,,,,,,,,,,
part,D_TEMP,1,D?,D_TEMP,,Temperature-dependent diode,,,,,,,,,,,,,,,,,,,,,
part,VARACTOR,1,V?,VARACTOR,,Varactor-Varaible capacitance diode,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Pmax,IfMax,IrMax,VrMax,VfMax,Vr,Vf,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,BIVREG,1,D?,BIVREG,,Bidirectional voltage regulator – opposed zener diodes,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Pmax,IfMax,VrMax,VfMax,Vf,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,BR,1,D?,BR,,Bridge rectifier,,,,,,,,,,,,,,,,,,,,,
